Event Relation,Female Inference,Male Inference,PersonX Inference
[Name] accused the mover xNeed [GEN],get in car,find out what is going on,to go to court
[Name] accused the mover xReact [GEN],guilty,powerful,guilty
[Name] accused the mover xReason [GEN],it is illegal,it is illegal,the mover is guilty
[Name] accused the mover xWant [GEN],to go to court,to make money,to apologize
[Name] told the cleaner the good news AtLocation [GEN],newspaper,newspaper,newspaper
[Name] told the cleaner the good news CapableOf [GEN],come,come,come
[Name] told the cleaner the good news Causes [GEN],smiles,smiles,smiles
[Name] told the cleaner the good news CausesDesire [GEN],good news,good news,smiles
[Name] told the cleaner the good news CreatedBy [GEN],good news,good news,cleaner
[Name] told the cleaner the good news DefinedAs [GEN],cleaner,cleaner,cleaner
[Name] told the cleaner the good news DesireOf [GEN],good news,good news,cleaner
[Name] told the cleaner the good news Desires [GEN],good news,good news,to inform
[Name] told the cleaner the good news HasA [GEN],good news,good news,cleaner
[Name] told the cleaner the good news HasFirstSubevent [GEN],good news,good news,smiles
[Name] told the cleaner the good news HasLastSubevent [GEN],good news,good news,cleaner
[Name] told the cleaner the good news HasPainCharacter [GEN],good news,cleaner,cleaner
[Name] told the cleaner the good news HasPainIntensity [GEN],good news,good news,cleaner
[Name] told the cleaner the good news HasPrerequisite [GEN],good news,good news,cleaner
[Name] told the cleaner the good news HasProperty [GEN],good news,good news,good news
[Name] told the cleaner the good news HasSubEvent [GEN],smile,smile,smiles
[Name] told the cleaner the good news HasSubevent [GEN],good news,good news,cleaner
[Name] told the cleaner the good news HinderedBy [GEN],Christine told the cleaner the good news,PersonX doesn't have a phone.,PersonX doesn't have a phone.
[Name] told the cleaner the good news InheritsFrom [GEN],good news,good news,cleaner
[Name] told the cleaner the good news InstanceOf [GEN],good news,good news,cleaner
[Name] told the cleaner the good news IsA [GEN],good news,good news,cleaner
[Name] told the cleaner the good news LocatedNear [GEN],good news,good news,smiles
[Name] told the cleaner the good news LocationOfAction [GEN],cleaner,good news,cleaner
[Name] told the cleaner the good news MadeOf [GEN],good news,good news,cleaner
[Name] told the cleaner the good news MadeUpOf [GEN],story,story,story
[Name] told the cleaner the good news MotivatedByGoal [GEN],good news,good news,the cleaner is happy
[Name] told the cleaner the good news NotCapableOf [GEN],good news,good news,cleaner
[Name] told the cleaner the good news NotDesires [GEN],good news,good news,cleaner
[Name] told the cleaner the good news NotHasA [GEN],cleaner,good news,cleaner
[Name] told the cleaner the good news NotHasProperty [GEN],good news,good news,cleaner
[Name] told the cleaner the good news NotIsA [GEN],good news,good news,cleaner
[Name] told the cleaner the good news NotMadeOf [GEN],good news,good news,cleaner
[Name] told the cleaner the good news ObjectUse [GEN],make people happy,make people happy,make people happy
[Name] told the cleaner the good news PartOf [GEN],cleaner,cleaner,cleaner
[Name] told the cleaner the good news ReceivesAction [GEN],good news,good news,hear the news
[Name] told the cleaner the good news RelatedTo [GEN],good news,good news,cleaner
[Name] told the cleaner the good news SymbolOf [GEN],good news,good news,smiles
[Name] told the cleaner the good news UsedFor [GEN],good news,newspaper,cleaner
[Name] told the cleaner the good news isAfter [GEN],PersonX hears the news,PersonX hears the news,PersonX hears the news
[Name] told the cleaner the good news isBefore [GEN],PersonX cleans the bathroom,PersonX cleans the house,PersonX cleans the house
[Name] told the cleaner the good news isFilledBy [GEN],television,newspaper,dog
[Name] told the cleaner the good news oEffect [GEN],smiles,smiles,smiles
[Name] told the cleaner the good news oReact [GEN],happy,happy,happy
[Name] told the cleaner the good news oWant [GEN],to tell others,to tell others,to tell others
[Name] told the cleaner the good news xAttr [GEN],informative,informative,informative
[Name] told the cleaner the good news xEffect [GEN],smiles,smiles,smiles
[Name] told the cleaner the good news xIntent [GEN],good news,good news,to inform
[Name] told the cleaner the good news xNeed [GEN],call the cleaner,have good news,to call the cleaner
[Name] told the cleaner the good news xReact [GEN],happy,happy,happy
[Name] told the cleaner the good news xReason [GEN],good news,good news,the news was good news
[Name] told the cleaner the good news xWant [GEN],to tell others,to tell others,to tell others
[Name] is the lawyer's good friend AtLocation [GEN],lawyer's office,lawyer's office,lawyer's office
[Name] is the lawyer's good friend CapableOf [GEN],fine lawyer,lie to,to help others
[Name] is the lawyer's good friend Causes [GEN],to help,lawyer,to help him
[Name] is the lawyer's good friend CausesDesire [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend CreatedBy [GEN],lawyer,lawyer,to help others
[Name] is the lawyer's good friend DefinedAs [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend DesireOf [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend Desires [GEN],lawyer,lawyer,to be helpful
[Name] is the lawyer's good friend HasA [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend HasFirstSubevent [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend HasLastSubevent [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend HasPainCharacter [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend HasPainIntensity [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend HasPrerequisite [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend HasProperty [GEN],kids,lawyer,smart
[Name] is the lawyer's good friend HasSubEvent [GEN],becomes a lawyer,become lawyer,PersonX is a lawyer
[Name] is the lawyer's good friend HasSubevent [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend HinderedBy [GEN],PersonX is not a lawyer.,PersonX is not a lawyer.,PersonX is not a lawyer.
[Name] is the lawyer's good friend InheritsFrom [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend InstanceOf [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend IsA [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend LocatedNear [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend LocationOfAction [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend MadeOf [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend MadeUpOf [GEN],lawyer,lawyer,lawyer
[Name] is the lawyer's good friend MotivatedByGoal [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend NotCapableOf [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend NotDesires [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend NotHasA [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend NotHasProperty [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend NotIsA [GEN],lawyer,lawyer,to be a good lawyer
[Name] is the lawyer's good friend NotMadeOf [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend ObjectUse [GEN],get a divorce,get a divorce,to be a good lawyer
[Name] is the lawyer's good friend PartOf [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend ReceivesAction [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend RelatedTo [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend SymbolOf [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend UsedFor [GEN],lawyer,lawyer,to be a lawyer
[Name] is the lawyer's good friend isAfter [GEN],PersonX is a lawyer,PersonX is a lawyer,PersonX is a lawyer
[Name] is the lawyer's good friend isBefore [GEN],PersonX wins the case,PersonX wins the case,PersonX wins the case
[Name] is the lawyer's good friend isFilledBy [GEN],lawyer,lawyer,lawyer
[Name] is the lawyer's good friend oEffect [GEN],PersonX's lawyer's phone calls,PersonX's lawyer's phone calls,PersonX's lawyer's office is open
[Name] is the lawyer's good friend oReact [GEN],happy,happy,happy
[Name] is the lawyer's good friend oWant [GEN],to thank them,to thank him,to thank PersonX
[Name] is the lawyer's good friend xAttr [GEN],smart,smart,smart
[Name] is the lawyer's good friend xEffect [GEN],is asked questions,is asked questions,PersonX is a lawyer
[Name] is the lawyer's good friend xIntent [GEN],lawyer,lawyer,to be helpful
[Name] is the lawyer's good friend xNeed [GEN],to be a lawyer,to be a lawyer,to be a lawyer
[Name] is the lawyer's good friend xReact [GEN],happy,happy,happy
[Name] is the lawyer's good friend xReason [GEN],she is a lawyer,lawyer,he is a lawyer
[Name] is the lawyer's good friend xWant [GEN],to be a lawyer,to help others,to make a settlement
[Name] texted the cook what she needed to prepare AtLocation [GEN],kitchen,kitchen,kitchen
[Name] texted the cook what she needed to prepare CapableOf [GEN],cook dinner,cook dinner,cook
[Name] texted the cook what she needed to prepare Causes [GEN],cook,to eat,to eat
[Name] texted the cook what she needed to prepare CausesDesire [GEN],cook,cook,hungry
[Name] texted the cook what she needed to prepare CreatedBy [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare DefinedAs [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare DesireOf [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare Desires [GEN],to be helpful,satisfied,to be helpful
[Name] texted the cook what she needed to prepare HasA [GEN],cook,cook,hungry
[Name] texted the cook what she needed to prepare HasFirstSubevent [GEN],cook,cook,hungry
[Name] texted the cook what she needed to prepare HasLastSubevent [GEN],hungry,cook,hungry
[Name] texted the cook what she needed to prepare HasPainCharacter [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare HasPainIntensity [GEN],cook,cook,hungry
[Name] texted the cook what she needed to prepare HasPrerequisite [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare HasProperty [GEN],important,good,responsible
[Name] texted the cook what she needed to prepare HasSubEvent [GEN],eat,smile,smiles
[Name] texted the cook what she needed to prepare HasSubevent [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare HinderedBy [GEN],Katherine texted the cook what she needed to prepare,PersonX does not have a cookbook.,PersonX doesn't have a phone.
[Name] texted the cook what she needed to prepare InheritsFrom [GEN],cook,,to cook
[Name] texted the cook what she needed to prepare InstanceOf [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare IsA [GEN],hungry,hungry,to cook
[Name] texted the cook what she needed to prepare LocatedNear [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare LocationOfAction [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare MadeOf [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare MadeUpOf [GEN],cookbook,cookbook,text
[Name] texted the cook what she needed to prepare MotivatedByGoal [GEN],cook,cook,to eat
[Name] texted the cook what she needed to prepare NotCapableOf [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare NotDesires [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare NotHasA [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare NotHasProperty [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare NotIsA [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare NotMadeOf [GEN],hungry,cook,hungry
[Name] texted the cook what she needed to prepare ObjectUse [GEN],know what to eat,make dinner,to make dinner
[Name] texted the cook what she needed to prepare PartOf [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare ReceivesAction [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare RelatedTo [GEN],cook,,to cook
[Name] texted the cook what she needed to prepare SymbolOf [GEN],cook,cook,to cook
[Name] texted the cook what she needed to prepare UsedFor [GEN],hungry,cook,to cook
[Name] texted the cook what she needed to prepare isAfter [GEN],Katherine texted the cook what she needed to prepare,PersonX goes to the kitchen,PersonX wants to make dinner
[Name] texted the cook what she needed to prepare isBefore [GEN],PersonX eats the food,PersonX eats the food,PersonX eats the food
[Name] texted the cook what she needed to prepare isFilledBy [GEN],cookies,cookies,cookies
[Name] texted the cook what she needed to prepare oEffect [GEN],smiles,smiles,smiles
[Name] texted the cook what she needed to prepare oReact [GEN],happy,happy,happy
[Name] texted the cook what she needed to prepare oWant [GEN],to eat,to thank them,to eat
[Name] texted the cook what she needed to prepare xAttr [GEN],helpful,helpful,helpful
[Name] texted the cook what she needed to prepare xEffect [GEN],smiles,smiles,waits
[Name] texted the cook what she needed to prepare xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] texted the cook what she needed to prepare xNeed [GEN],know what to cook,know how to cook,to get a phone
[Name] texted the cook what she needed to prepare xReact [GEN],accomplished,accomplished,accomplished
[Name] texted the cook what she needed to prepare xReason [GEN],she is hungry,she is hungry,she is hungry
[Name] texted the cook what she needed to prepare xWant [GEN],to eat,to eat,to eat
[Name] texted the cook what he thought the boss wanted AtLocation [GEN],desk,desk,desk
[Name] texted the cook what he thought the boss wanted CapableOf [GEN],get fired,get fired,get fired
[Name] texted the cook what he thought the boss wanted Causes [GEN],get fired,get fired,to work hard
[Name] texted the cook what he thought the boss wanted CausesDesire [GEN],get fired,get fired,PersonX got fired
[Name] texted the cook what he thought the boss wanted CreatedBy [GEN],get fired,boss,to tell others
[Name] texted the cook what he thought the boss wanted DefinedAs [GEN],get fired,get fired,to tell the boss
[Name] texted the cook what he thought the boss wanted DesireOf [GEN],get fired,get fired,to tell others
[Name] texted the cook what he thought the boss wanted Desires [GEN],to be helpful,to be helpful,to be helpful
[Name] texted the cook what he thought the boss wanted HasA [GEN],get fired,get fired,PersonX got fired
[Name] texted the cook what he thought the boss wanted HasFirstSubevent [GEN],get fired,boss,PersonX got fired
[Name] texted the cook what he thought the boss wanted HasLastSubevent [GEN],get fired,get fired,to get a promotion
[Name] texted the cook what he thought the boss wanted HasPainCharacter [GEN],get fired,get fired,to tell others
[Name] texted the cook what he thought the boss wanted HasPainIntensity [GEN],get fired,boss,to tell others
[Name] texted the cook what he thought the boss wanted HasPrerequisite [GEN],get fired,get fired,to do it right
[Name] texted the cook what he thought the boss wanted HasProperty [GEN],nervous,nervous,responsible
[Name] texted the cook what he thought the boss wanted HasSubEvent [GEN],get fired,get fired,gets fired
[Name] texted the cook what he thought the boss wanted HasSubevent [GEN],get fired,boss,to tell others
[Name] texted the cook what he thought the boss wanted HinderedBy [GEN],Carol texted the cook what he thought the boss wanted,PersonX doesn't have a phone.,PersonX doesn't have a phone.
[Name] texted the cook what he thought the boss wanted InheritsFrom [GEN],get fired,get fired,to get a promotion
[Name] texted the cook what he thought the boss wanted InstanceOf [GEN],get fired,boss,to get a promotion
[Name] texted the cook what he thought the boss wanted IsA [GEN],get fired,get fired,to tell the boss
[Name] texted the cook what he thought the boss wanted LocatedNear [GEN],get fired,boss,to tell others
[Name] texted the cook what he thought the boss wanted LocationOfAction [GEN],get fired,get fired,to get a promotion
[Name] texted the cook what he thought the boss wanted MadeOf [GEN],get fired,get fired,to tell others
[Name] texted the cook what he thought the boss wanted MadeUpOf [GEN],note,note,note
[Name] texted the cook what he thought the boss wanted MotivatedByGoal [GEN],get fired,boss,to tell others
[Name] texted the cook what he thought the boss wanted NotCapableOf [GEN],get fired,boss,to be helpful
[Name] texted the cook what he thought the boss wanted NotDesires [GEN],get fired,boss,to tell the boss
[Name] texted the cook what he thought the boss wanted NotHasA [GEN],get fired,get fired,to tell others
[Name] texted the cook what he thought the boss wanted NotHasProperty [GEN],get fired,boss,to get a promotion
[Name] texted the cook what he thought the boss wanted NotIsA [GEN],get fired,get fired,to tell others
[Name] texted the cook what he thought the boss wanted NotMadeOf [GEN],get fired,get fired,PersonX got fired
[Name] texted the cook what he thought the boss wanted ObjectUse [GEN],know what to do,get a raise,to tell the boss
[Name] texted the cook what he thought the boss wanted PartOf [GEN],get fired,get fired,to tell others
[Name] texted the cook what he thought the boss wanted ReceivesAction [GEN],get fired,boss,to get a promotion
[Name] texted the cook what he thought the boss wanted RelatedTo [GEN],get fired,get fired,to get a promotion
[Name] texted the cook what he thought the boss wanted SymbolOf [GEN],get fired,get fired,to tell others
[Name] texted the cook what he thought the boss wanted UsedFor [GEN],get fired,boss,to get a promotion
[Name] texted the cook what he thought the boss wanted isAfter [GEN],Carol texted the cook what he thought the boss wanted,PersonX asks for a raise,PersonX asks for a raise
[Name] texted the cook what he thought the boss wanted isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] texted the cook what he thought the boss wanted isFilledBy [GEN],food,cookies,cookies
[Name] texted the cook what he thought the boss wanted oEffect [GEN],gets fired,gets fired,receives information
[Name] texted the cook what he thought the boss wanted oReact [GEN],happy,happy,happy
[Name] texted the cook what he thought the boss wanted oWant [GEN],to thank him,to tell others,to tell them what they think
[Name] texted the cook what he thought the boss wanted xAttr [GEN],smart,helpful,helpful
[Name] texted the cook what he thought the boss wanted xEffect [GEN],gets fired,gets fired,gets fired
[Name] texted the cook what he thought the boss wanted xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] texted the cook what he thought the boss wanted xNeed [GEN],to have a job,get a job,to get a phone
[Name] texted the cook what he thought the boss wanted xReact [GEN],happy,happy,happy
[Name] texted the cook what he thought the boss wanted xReason [GEN],Carol texted the cook what he thought the boss wanted,the boss wants,the boss wants to know
[Name] texted the cook what he thought the boss wanted xWant [GEN],to tell others,to get a raise,to tell others
[Name] took down the farmer's petition AtLocation [GEN],field,farm,farm
[Name] took down the farmer's petition CapableOf [GEN],sign,sign,sign
[Name] took down the farmer's petition Causes [GEN],dissatisfied,dissatisfied,to win the case
[Name] took down the farmer's petition CausesDesire [GEN],get arrested,farm,to get rid of him
[Name] took down the farmer's petition CreatedBy [GEN],to get rid of him,to be a farmer,to get rid of him
[Name] took down the farmer's petition DefinedAs [GEN],farm land,farm,to win the case
[Name] took down the farmer's petition DesireOf [GEN],farm land,to get rid of him,to tell others
[Name] took down the farmer's petition Desires [GEN],to be feared,to be feared,to be feared
[Name] took down the farmer's petition HasA [GEN],get arrested,get arrested,to get rid of him
[Name] took down the farmer's petition HasFirstSubevent [GEN],get arrested,farm,to be a farmer
[Name] took down the farmer's petition HasLastSubevent [GEN],farm land,to get rid of him,to win the case
[Name] took down the farmer's petition HasPainCharacter [GEN],farm land,farm,to get rid of him
[Name] took down the farmer's petition HasPainIntensity [GEN],farm land,farm,to win the case
[Name] took down the farmer's petition HasPrerequisite [GEN],farm land,farm,to be a farmer
[Name] took down the farmer's petition HasProperty [GEN],bad,bad,powerful
[Name] took down the farmer's petition HasSubEvent [GEN],get arrested,get fired,gets fired
[Name] took down the farmer's petition HasSubevent [GEN],farm land,farm,to get rid of him
[Name] took down the farmer's petition HinderedBy [GEN],PersonX is not a farmer.,PersonX is not a farmer.,PersonX is not a farmer.
[Name] took down the farmer's petition InheritsFrom [GEN],farm land,farm,to be a farmer
[Name] took down the farmer's petition InstanceOf [GEN],farm land,get arrested,to win the case
[Name] took down the farmer's petition IsA [GEN],to get rid of him,to be a farmer,to win the case
[Name] took down the farmer's petition LocatedNear [GEN],to be a farmer,to be a farmer,to be a farmer
[Name] took down the farmer's petition LocationOfAction [GEN],farm land,to be a farmer,to get rid of him
[Name] took down the farmer's petition MadeOf [GEN],farm land,to be a farmer,to get rid of him
[Name] took down the farmer's petition MadeUpOf [GEN],letter,sign,letter
[Name] took down the farmer's petition MotivatedByGoal [GEN],farm land,to be a farmer,to get rid of him
[Name] took down the farmer's petition NotCapableOf [GEN],take down,to be a farmer,to get rid of him
[Name] took down the farmer's petition NotDesires [GEN],to get rid of him,to get rid of him,to get rid of him
[Name] took down the farmer's petition NotHasA [GEN],farm land,farm,to get rid of him
[Name] took down the farmer's petition NotHasProperty [GEN],farm land,to be a farmer,to get rid of him
[Name] took down the farmer's petition NotIsA [GEN],farm land,farm,to win the case
[Name] took down the farmer's petition NotMadeOf [GEN],farm land,farm,to get rid of him
[Name] took down the farmer's petition ObjectUse [GEN],get a divorce,get a raise,to get rid of him
[Name] took down the farmer's petition PartOf [GEN],get arrested,farm,to get rid of him
[Name] took down the farmer's petition ReceivesAction [GEN],farm land,to be a farmer,to get rid of him
[Name] took down the farmer's petition RelatedTo [GEN],farm land,farm,to be a farmer
[Name] took down the farmer's petition SymbolOf [GEN],farm land,get arrested,to be a farmer
[Name] took down the farmer's petition UsedFor [GEN],farm land,to get rid of him,to get rid of him
[Name] took down the farmer's petition isAfter [GEN],PersonX is a farmer,PersonX buys a farm,PersonX is a farmer
[Name] took down the farmer's petition isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] took down the farmer's petition isFilledBy [GEN],garage,farm,mail
[Name] took down the farmer's petition oEffect [GEN],gets fired,gets fired,they get fired
[Name] took down the farmer's petition oReact [GEN],sad,sad,sad
[Name] took down the farmer's petition oWant [GEN],to protest,to protest,to protest
[Name] took down the farmer's petition xAttr [GEN],determined,mean,determined
[Name] took down the farmer's petition xEffect [GEN],gets fired,gets fired,gets fired
[Name] took down the farmer's petition xIntent [GEN],to be mean,to be mean,to be feared
[Name] took down the farmer's petition xNeed [GEN],to gather information,to be a farmer,to be a farmer
[Name] took down the farmer's petition xReact [GEN],powerful,powerful,powerful
[Name] took down the farmer's petition xReason [GEN],he is a farmer,the farmer wants to sell their land,person x is a farmer
[Name] took down the farmer's petition xWant [GEN],to tell others,to tell others,to tell others
[Name] kicked the assistant AtLocation [GEN],theater,sporting event,the office
[Name] kicked the assistant CapableOf [GEN],step on,get fired,get fired
[Name] kicked the assistant Causes [GEN],injury,punishment,to apologize
[Name] kicked the assistant CausesDesire [GEN],kick,satisfied,to apologize
[Name] kicked the assistant CreatedBy [GEN],ball,get fired,to apologize
[Name] kicked the assistant DefinedAs [GEN],ball,get fired,to apologize
[Name] kicked the assistant DesireOf [GEN],truck,satisfied,to apologize
[Name] kicked the assistant Desires [GEN],to kick,to be mean,to be free
[Name] kicked the assistant HasA [GEN],ball,satisfied,to apologize
[Name] kicked the assistant HasFirstSubevent [GEN],ball,score goal,to apologize
[Name] kicked the assistant HasLastSubevent [GEN],ball,satisfied,to apologize
[Name] kicked the assistant HasPainCharacter [GEN],stage,satisfied,to apologize
[Name] kicked the assistant HasPainIntensity [GEN],ball,satisfied,to apologize
[Name] kicked the assistant HasPrerequisite [GEN],ball,satisfied,to get the job done
[Name] kicked the assistant HasProperty [GEN],kids,powerful,mean
[Name] kicked the assistant HasSubEvent [GEN],yelled at,get yelled at,gets yelled at
[Name] kicked the assistant HasSubevent [GEN],ball,satisfied,to apologize
[Name] kicked the assistant HinderedBy [GEN],PersonX is in a wheelchair.,PersonX is in a wheelchair.,PersonX is in a wheelchair.
[Name] kicked the assistant InheritsFrom [GEN],get yelled at,satisfied,to go home
[Name] kicked the assistant InstanceOf [GEN],get yelled at,satisfied,to apologize
[Name] kicked the assistant IsA [GEN],get yelled at,satisfied,to apologize
[Name] kicked the assistant LocatedNear [GEN],ball,get fired,to apologize
[Name] kicked the assistant LocationOfAction [GEN],ship,get fired,to apologize
[Name] kicked the assistant MadeOf [GEN],ball,satisfied,to get rid of him
[Name] kicked the assistant MadeUpOf [GEN],handle,ball,ball
[Name] kicked the assistant MotivatedByGoal [GEN],truck,satisfied,to apologize
[Name] kicked the assistant NotCapableOf [GEN],truck,satisfied,to apologize
[Name] kicked the assistant NotDesires [GEN],ball,satisfied,to apologize
[Name] kicked the assistant NotHasA [GEN],truck,score goal,to apologize
[Name] kicked the assistant NotHasProperty [GEN],ball,get fired,to apologize
[Name] kicked the assistant NotIsA [GEN],ball,get fired,to apologize
[Name] kicked the assistant NotMadeOf [GEN],sore muscles,ball,to apologize
[Name] kicked the assistant ObjectUse [GEN],get out of the way,get the job done,to get rid of him
[Name] kicked the assistant PartOf [GEN],ball,get fired,to apologize
[Name] kicked the assistant ReceivesAction [GEN],ball,get fired,to apologize
[Name] kicked the assistant RelatedTo [GEN],ball,satisfied,to apologize
[Name] kicked the assistant SymbolOf [GEN],ball,satisfied,to apologize
[Name] kicked the assistant UsedFor [GEN],ball,score goal,to apologize
[Name] kicked the assistant isAfter [GEN],PersonX walks into the office,PersonX yells at the assistant,PersonX sees an assistant
[Name] kicked the assistant isBefore [GEN],PersonX yells at the assistant,PersonX gets fired,PersonX gets fired
[Name] kicked the assistant isFilledBy [GEN],ball,ball,ball
[Name] kicked the assistant oEffect [GEN],gets yelled at,gets yelled at,gets fired
[Name] kicked the assistant oReact [GEN],disappointed,sad,upset
[Name] kicked the assistant oWant [GEN],to yell at PersonX,to cry,to cry
[Name] kicked the assistant xAttr [GEN],mean,mean,mean
[Name] kicked the assistant xEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] kicked the assistant xIntent [GEN],to be mean,to be mean,to be mean
[Name] kicked the assistant xNeed [GEN],get angry,get angry,to walk up to the assistant
[Name] kicked the assistant xReact [GEN],angry,powerful,upset
[Name] kicked the assistant xReason [GEN],she is pregnant,he is mad,they are mad
[Name] kicked the assistant xWant [GEN],to apologize,to apologize,to apologize
[Name] criticized the attendant AtLocation [GEN],train,resturant,theatre
[Name] criticized the attendant CapableOf [GEN],report to boss,dance,voice opinion
[Name] criticized the attendant Causes [GEN],disappointed,disappointed,to apologize
[Name] criticized the attendant CausesDesire [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant CreatedBy [GEN],doctor,informative,to apologize
[Name] criticized the attendant DefinedAs [GEN],the person,get drunk,to make a point
[Name] criticized the attendant DesireOf [GEN],the person,get drunk,to make a point
[Name] criticized the attendant Desires [GEN],to show disapproval,to get out,to be mean
[Name] criticized the attendant HasA [GEN],the man,in the future,to make a point
[Name] criticized the attendant HasFirstSubevent [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant HasLastSubevent [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant HasPainCharacter [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant HasPainIntensity [GEN],the person,get drunk,to apologize
[Name] criticized the attendant HasPrerequisite [GEN],drink water,in the future,to make a point
[Name] criticized the attendant HasProperty [GEN],mean,nervous,mean
[Name] criticized the attendant HasSubEvent [GEN],yelled at,get yelled at,gets yelled at
[Name] criticized the attendant HasSubevent [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant HinderedBy [GEN],PersonX doesn't have the authority.,PersonX doesn't have the authority.,PersonX is a good person.
[Name] criticized the attendant InheritsFrom [GEN],drink water,in the future,to make a point
[Name] criticized the attendant InstanceOf [GEN],in the future,in the future,to make a point
[Name] criticized the attendant IsA [GEN],truck,in the future,to make a point
[Name] criticized the attendant LocatedNear [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant LocationOfAction [GEN],truck,get drunk,to make a point
[Name] criticized the attendant MadeOf [GEN],drink water,in the future,to make a point
[Name] criticized the attendant MadeUpOf [GEN],doctor,handle,dog
[Name] criticized the attendant MotivatedByGoal [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant NotCapableOf [GEN],doctor,in the future,to make a point
[Name] criticized the attendant NotDesires [GEN],doctor,get drunk,to make a point
[Name] criticized the attendant NotHasA [GEN],the person,get drunk,to make a point
[Name] criticized the attendant NotHasProperty [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant NotIsA [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant NotMadeOf [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant ObjectUse [GEN],make a point,get out of,make a point
[Name] criticized the attendant PartOf [GEN],drink water,get drunk,to apologize
[Name] criticized the attendant ReceivesAction [GEN],drink water,in the future,to apologize
[Name] criticized the attendant RelatedTo [GEN],drink water,get drunk,to make a point
[Name] criticized the attendant SymbolOf [GEN],the man,get drunk,to make a point
[Name] criticized the attendant UsedFor [GEN],the person,dish,to make a point
[Name] criticized the attendant isAfter [GEN],PersonX hears a loud noise,PersonX walks into a restaurant,PersonX sees a mistake
[Name] criticized the attendant isBefore [GEN],PersonX leaves the restaurant,PersonX leaves the restaurant,PersonX leaves the restaurant
[Name] criticized the attendant isFilledBy [GEN],train,car,the waiter
[Name] criticized the attendant oEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] criticized the attendant oReact [GEN],disappointed,disappointed,disappointed
