Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] accused the mover NotCapableOf [GEN], the mover to leave, the mover to leave, PersonX finds out the truth,1.0,0.199,0.199
[Name] accused the mover NotDesires [GEN], the mover gets fired, the mover gets fired, PersonX is mad at the mover,1.0,0.582,0.582
[Name] accused the mover NotHasA [GEN], the mover gets fired, the mover gets fired, PersonX goes to the police,1.0,0.342,0.342
[Name] accused the mover NotHasProperty [GEN], they are angry, angry, angry,0.695,0.695,1.0
[Name] accused the mover NotIsA [GEN], the mover gets fired, the mover gets fired, PersonX calls the police,1.0,0.288,0.288
[Name] accused the mover NotMadeOf [GEN], the mover to leave, the mover to leave, PersonX finds out the mover is a liar,1.0,0.513,0.513
[Name] accused the mover ObjectUse [GEN], to get the mover fired, to get the mover fired, to get the mover fired,1.0,1.0,1.0
[Name] accused the mover PartOf [GEN], the mover gets fired, the mover gets fired, PersonX goes to the police,1.0,0.342,0.342
[Name] accused the mover ReceivesAction [GEN], get a restraining order, the mover gets fired, PersonX finds out the mover is a liar,0.242,0.28,0.54
[Name] accused the mover RelatedTo [GEN], the mover to leave, the mover to leave, PersonX yells at PersonY,1.0,0.161,0.161
[Name] accused the mover SymbolOf [GEN], the mover to leave, the mover to leave, PersonX finds out the mover is a liar,1.0,0.513,0.513
[Name] accused the mover UsedFor [GEN], the mover to leave, the mover gets fired, PersonX calls the police on the mover,0.751,0.52,0.534
[Name] accused the mover isAfter [GEN], PersonX tells PersonX that PersonX is lying, PersonY moves PersonY's stuff, PersonX finds out the mover is a liar,0.44,0.77,0.568
[Name] accused the mover isBefore [GEN], PersonX gets a restraining order, the mover is fired, PersonX calls the police,0.245,0.695,0.27
[Name] accused the mover isFilledBy [GEN], the car, the truck, the mover,0.666,0.402,0.401
[Name] accused the mover oEffect [GEN], none, none, none,1.0,1.0,1.0
[Name] accused the mover oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] accused the mover oWant [GEN], to get paid, to find out who did it, to get away with it,0.345,0.579,0.435
[Name] accused the mover xAttr [GEN], accusatory, accusatory, accusatory,1.0,1.0,1.0
[Name] accused the mover xEffect [GEN], gets yelled at, gets yelled at, PersonX is arrested,1.0,0.119,0.119
[Name] accused the mover xIntent [GEN], to be vindicated, to get back at someone, to be vindictive,0.327,0.685,0.309
[Name] accused the mover xNeed [GEN], to find out what is going on, to find out what is going on, to find the mover,1.0,0.439,0.439
[Name] accused the mover xReact [GEN], angry, angry, vindicated,1.0,0.244,0.244
[Name] accused the mover xReason [GEN], the mover to leave, the mover to leave, PersonX finds out that the mover is a liar,1.0,0.507,0.507
[Name] accused the mover xWant [GEN], to file a police report, to file a police report, to file a police report,1.0,1.0,1.0
[Name] told the cleaner the good news AtLocation [GEN], the house,  the cleaner is happy, PersonX tells the cleaner the news,0.091,0.246,0.438
[Name] told the cleaner the good news CapableOf [GEN], clean the house, clean the house, to tell the cleaner something,1.0,0.316,0.316
[Name] told the cleaner the good news Causes [GEN], PersonY is happy., The cleaner is not interested, PersonX gets a promotion at work,0.082,0.318,0.151
[Name] told the cleaner the good news CausesDesire [GEN], PersonY is happy, the cleaner is happy, PersonX tells the cleaner the good news,0.465,0.391,0.555
[Name] told the cleaner the good news CreatedBy [GEN], clean the house, none, PersonX tells the cleaner a secret,0.151,0.333,0.083
[Name] told the cleaner the good news DefinedAs [GEN], PersonY gets a promotion, the cleaner is happy, PersonX tells the cleaner the news,0.171,0.396,0.438
[Name] told the cleaner the good news DesireOf [GEN], the cleaner is happy, the cleaner is happy, PersonX tells the cleaner the news,1.0,0.438,0.438
[Name] told the cleaner the good news Desires [GEN], to be helpful, to be helpful, to be helpful,1.0,1.0,1.0
[Name] told the cleaner the good news HasA [GEN], the cleaner to be happy, the cleaner is happy, person x is happy,0.927,0.438,0.429
[Name] told the cleaner the good news HasFirstSubevent [GEN], PersonY is happy, the cleaner is happy, PersonX cleans the house,0.465,0.319,0.41
[Name] told the cleaner the good news HasLastSubevent [GEN], PersonY gets a promotion, the cleaner is happy, PersonX tells the cleaner the good news,0.171,0.381,0.555
[Name] told the cleaner the good news HasPainCharacter [GEN], PersonY gets a promotion, the cleaner is happy, PersonX tells the cleaner the news,0.171,0.396,0.438
[Name] told the cleaner the good news HasPainIntensity [GEN], PersonY is happy, they get a new job, PersonX tells the cleaner the good news,0.193,0.391,0.321
[Name] told the cleaner the good news HasPrerequisite [GEN], clean the house, clean the house, PersonX is thanked by the cleaner,1.0,0.279,0.279
[Name] told the cleaner the good news HasProperty [GEN], the cleaner is happy, good news, happy.,0.088,0.276,0.255
[Name] told the cleaner the good news HasSubEvent [GEN], clean the house, clean the house, PersonX gets a thank you,1.0,0.18,0.18
[Name] told the cleaner the good news HasSubevent [GEN], clean the house, none, good about themselves,0.151,0.251,0.135
[Name] told the cleaner the good news HinderedBy [GEN], The cleaner doesn't have a phone., The cleaner doesn't want to be told., PersonX doesn't know the cleaner's name.,0.597,0.5,0.556
[Name] told the cleaner the good news InheritsFrom [GEN], the cleaner is happy, the cleaner is happy, PersonX gets a promotion,1.0,0.134,0.134
[Name] told the cleaner the good news InstanceOf [GEN], PersonY gets a promotion, they are happy, PersonX gets a new job,0.178,0.554,0.118
[Name] told the cleaner the good news IsA [GEN], the cleaner is happy, the cleaner is happy, PersonX gets a promotion,1.0,0.134,0.134
[Name] told the cleaner the good news LocatedNear [GEN], clean the house, to be helpful, to be helpful,0.24,0.24,1.0
[Name] told the cleaner the good news LocationOfAction [GEN], clean the house, good about themselves, good about themselves,0.251,0.251,1.0
[Name] told the cleaner the good news MadeOf [GEN], the cleaner is happy, the cleaner is happy, PersonX gets a new job,1.0,0.264,0.264
[Name] told the cleaner the good news MadeUpOf [GEN], the cleaner is happy,   , PersonX is thanked by the cleaner,0.145,0.588,0.208
[Name] told the cleaner the good news MotivatedByGoal [GEN], the cleaner is happy, the cleaner to be happy, PersonX tells the cleaner the news,0.927,0.438,0.489
[Name] told the cleaner the good news NotCapableOf [GEN], PersonY is happy, clean the house, person x is happy,0.229,0.755,0.149
[Name] told the cleaner the good news NotDesires [GEN], the cleaner is happy, clean the house, PersonX gets a promotion,0.265,0.134,0.106
[Name] told the cleaner the good news NotHasA [GEN], PersonY gets a new job, the cleaner is happy, PersonX tells the cleaner the good news,0.3,0.472,0.555
[Name] told the cleaner the good news NotHasProperty [GEN], they are happy, good news, happy,0.146,0.562,0.287
[Name] told the cleaner the good news NotIsA [GEN], PersonY gets a promotion, the cleaner is happy, PersonX tells the cleaner the news,0.171,0.396,0.438
[Name] told the cleaner the good news NotMadeOf [GEN], the cleaner is happy, clean the house, PersonX tells the cleaner a secret,0.265,0.521,0.333
[Name] told the cleaner the good news ObjectUse [GEN], to get the job done, to be a good person, to tell the cleaner the good news,0.506,0.528,0.336
[Name] told the cleaner the good news PartOf [GEN], the cleaner is happy, the cleaner is happy, PersonX is thanked by the cleaner,1.0,0.588,0.588
[Name] told the cleaner the good news ReceivesAction [GEN], the cleaner is happy, clean the house, PersonX tells the cleaner the news,0.265,0.438,0.326
[Name] told the cleaner the good news RelatedTo [GEN], the cleaner is happy, they get a new job, PersonX tells the cleaner the good news,0.23,0.555,0.321
[Name] told the cleaner the good news SymbolOf [GEN], the cleaner is happy, the cleaner is happy, PersonX tells the cleaner the good news,1.0,0.555,0.555
[Name] told the cleaner the good news UsedFor [GEN], clean the house, clean the house, PersonX tells the cleaner the good news,1.0,0.345,0.345
[Name] told the cleaner the good news isAfter [GEN], PersonY gets a promotion, PersonX cleans PersonX's house, PersonX gets a new job,0.317,0.554,0.663
[Name] told the cleaner the good news isBefore [GEN], PersonY goes to sleep, PersonX gets a new job, PersonX gives the cleaner a hug,0.335,0.35,0.596
[Name] told the cleaner the good news isFilledBy [GEN], trash can, trash can, the car,1.0,0.313,0.313
[Name] told the cleaner the good news oEffect [GEN], none, none, PersonX is thanked by the cleaner,1.0,0.065,0.065
[Name] told the cleaner the good news oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] told the cleaner the good news oWant [GEN], to clean up, to thank the cleaner, to thank PersonX,0.655,0.311,0.525
[Name] told the cleaner the good news xAttr [GEN], talkative, helpful, helpful,0.293,0.293,1.0
[Name] told the cleaner the good news xEffect [GEN], gets yelled at, gets thanked, PersonX smiles,0.389,0.157,0.331
[Name] told the cleaner the good news xIntent [GEN], to be helpful, to be helpful, to be helpful,1.0,1.0,1.0
[Name] told the cleaner the good news xNeed [GEN], to get the cleaner's attention, to get the cleaner's attention, to get the cleaner's attention,1.0,1.0,1.0
[Name] told the cleaner the good news xReact [GEN], happy, happy, happy,1.0,1.0,1.0
[Name] told the cleaner the good news xReason [GEN], PersonY is very happy, the cleaner is happy, PersonX tells the cleaner the good news,0.428,0.395,0.555
[Name] told the cleaner the good news xWant [GEN], to clean up the mess, to make sure the cleaning is done, to clean up the mess,0.788,1.0,0.788
[Name] is the lawyer's good friend AtLocation [GEN], court room, the lawyer, PersonX is a lawyer's good friend,0.431,0.278,0.514
[Name] is the lawyer's good friend CapableOf [GEN], talk to the lawyer, talk to the lawyer, to be a good friend,1.0,-0.087,-0.087
[Name] is the lawyer's good friend Causes [GEN], PersonY hires PersonY as a lawyer, they get along well, PersonX is a lawyer's good friend,0.131,0.704,0.227
[Name] is the lawyer's good friend CausesDesire [GEN], PersonY hires PersonY as a lawyer, they get along well with the lawyer, PersonX is a lawyer's friend,0.562,0.715,0.49
[Name] is the lawyer's good friend CreatedBy [GEN], none, good about themselves, PersonX is a good lawyer,0.135,0.035,0.173
[Name] is the lawyer's good friend DefinedAs [GEN], PersonX hires Evelyn as a friend, PersonX hires PersonX as a lawyer, PersonX is a lawyer's good friend,0.629,0.615,0.87
[Name] is the lawyer's good friend DesireOf [GEN], they get along well, none, PersonX is a lawyer's friend,0.086,0.187,0.075
[Name] is the lawyer's good friend Desires [GEN], to be a good friend, to be a good friend, to be a friend,1.0,0.914,0.914
[Name] is the lawyer's good friend HasA [GEN], PersonY hires PersonY, good about themselves, PersonX is a good lawyer,0.205,0.435,0.173
[Name] is the lawyer's good friend HasFirstSubevent [GEN], PersonY hires PersonY, none, PersonX is a lawyer's friend,0.117,0.524,0.075
[Name] is the lawyer's good friend HasLastSubevent [GEN], PersonY hires PersonY as a lawyer, PersonX hires PersonX as a lawyer, PersonX is a lawyer's good friend,0.804,0.704,0.87
[Name] is the lawyer's good friend HasPainCharacter [GEN], PersonY hires PersonY as a lawyer, PersonX hires PersonX as a lawyer, PersonX is a lawyer's good friend,0.804,0.704,0.87
[Name] is the lawyer's good friend HasPainIntensity [GEN], have a good relationship with the lawyer, have a good time, PersonX is the lawyer's good friend,0.2,0.573,0.135
[Name] is the lawyer's good friend HasPrerequisite [GEN], have a good time, none, PersonX is a lawyer's friend,0.13,0.074,0.075
[Name] is the lawyer's good friend HasProperty [GEN], good at what they do, good friend, PersonX is a lawyer,0.295,0.092,0.132
[Name] is the lawyer's good friend HasSubEvent [GEN], have a good time, have a good time, PersonX is a lawyer's friend,1.0,0.074,0.074
[Name] is the lawyer's good friend HasSubevent [GEN], none, none, PersonX is a lawyer,1.0,0.095,0.095
[Name] is the lawyer's good friend HinderedBy [GEN], The lawyer doesn't like Evelyn., They don't like each other., PersonX doesn't know the lawyer well enough.,0.41,0.505,0.191
[Name] is the lawyer's good friend InheritsFrom [GEN], PersonY hires PersonY as a lawyer, good about themselves, PersonX is a lawyer's friend,0.126,0.715,0.129
[Name] is the lawyer's good friend InstanceOf [GEN], PersonY hires PersonY as a lawyer, good about themselves, PersonX is a lawyer,0.126,0.723,0.132
[Name] is the lawyer's good friend IsA [GEN], PersonY hires PersonY as a lawyer, good about themselves, PersonX is a lawyer's friend,0.126,0.715,0.129
[Name] is the lawyer's good friend LocatedNear [GEN], have a good time, to be a good friend, PersonX is a lawyer's friend,0.38,0.074,0.188
[Name] is the lawyer's good friend LocationOfAction [GEN], none, none, person x is a lawyer,1.0,0.074,0.074
[Name] is the lawyer's good friend MadeOf [GEN], they have a good relationship, the lawyer's good friend, PersonX is a lawyer's friend,0.386,0.261,0.591
[Name] is the lawyer's good friend MadeUpOf [GEN], PersonY, a lawyer, PersonX is a lawyer's good friend,0.213,0.396,0.533
[Name] is the lawyer's good friend MotivatedByGoal [GEN], PersonY hires PersonY, PersonX is a lawyer, PersonX is a lawyer's good friend,0.526,0.515,0.923
[Name] is the lawyer's good friend NotCapableOf [GEN], PersonY hires PersonY's friend, none, PersonX is a lawyer's friend,0.075,0.582,0.075
[Name] is the lawyer's good friend NotDesires [GEN], have a good time, the lawyer's good friend, PersonX is a good friend,0.276,0.235,0.253
[Name] is the lawyer's good friend NotHasA [GEN], PersonY hires PersonY as a lawyer, PersonX hires PersonX as a lawyer, PersonX is a lawyer's good friend,0.804,0.704,0.87
[Name] is the lawyer's good friend NotHasProperty [GEN], good about themselves, good about themselves, good about themselves,1.0,1.0,1.0
[Name] is the lawyer's good friend NotIsA [GEN], PersonY hires PersonY as a lawyer, they go to court together, PersonX is a lawyer's good friend,0.466,0.704,0.43
[Name] is the lawyer's good friend NotMadeOf [GEN], none, they get along with the lawyer, PersonX is a lawyer's friend,0.056,0.075,0.544
[Name] is the lawyer's good friend ObjectUse [GEN], have a good relationship, to be a good friend, to be a good friend,0.478,0.478,1.0
[Name] is the lawyer's good friend PartOf [GEN], PersonY hires PersonY, none, PersonX is a lawyer's friend,0.117,0.524,0.075
[Name] is the lawyer's good friend ReceivesAction [GEN], they get along well, friends with the lawyer, PersonX is a lawyer's friend,0.317,0.187,0.612
[Name] is the lawyer's good friend RelatedTo [GEN], PersonY asks PersonY out, friends with lawyer, PersonX is a lawyer's friend,0.204,0.325,0.583
[Name] is the lawyer's good friend SymbolOf [GEN], PersonY hires PersonY, none, PersonX is a lawyer's friend,0.117,0.524,0.075
[Name] is the lawyer's good friend UsedFor [GEN], none, friends with lawyer, PersonX is a lawyer's friend,0.118,0.075,0.583
[Name] is the lawyer's good friend isAfter [GEN], PersonX hires Evelyn as a friend, PersonX goes to the lawyer's office, PersonX goes to the lawyer's office,0.483,0.483,1.0
[Name] is the lawyer's good friend isBefore [GEN], PersonX hires Evelyn as a personal assistant, PersonX hires PersonX as a lawyer, PersonX goes to court with the lawyer,0.671,0.424,0.786
[Name] is the lawyer's good friend isFilledBy [GEN], the lawyer, the lawyer, PersonX is a lawyer,1.0,0.569,0.569
[Name] is the lawyer's good friend oEffect [GEN], has a good friend, gets a new client, PersonX is the lawyer's friend,0.166,0.234,0.214
[Name] is the lawyer's good friend oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] is the lawyer's good friend oWant [GEN], to talk to the lawyer, to talk to the lawyer, to talk to PersonX,1.0,0.253,0.253
[Name] is the lawyer's good friend xAttr [GEN], friendly, friendly, friendly,1.0,1.0,1.0
[Name] is the lawyer's good friend xEffect [GEN], has a good reputation, has a good reputation, PersonX is the lawyer's friend,1.0,0.133,0.133
[Name] is the lawyer's good friend xIntent [GEN], to be a good friend, to be a good friend, none,1.0,0.126,0.126
[Name] is the lawyer's good friend xNeed [GEN], to get to know the lawyer, to get to know the lawyer, to know the lawyer,1.0,0.915,0.915
[Name] is the lawyer's good friend xReact [GEN], happy, good about themselves, good about themselves,0.306,0.306,1.0
[Name] is the lawyer's good friend xReason [GEN], PersonY hires PersonY as a lawyer, they get along with the lawyer, PersonX is a lawyer's good friend,0.629,0.704,0.54
[Name] is the lawyer's good friend xWant [GEN], to have a good time, to be a good friend, to help the lawyer,0.65,0.379,0.341
[Name] texted the cook what she needed to prepare AtLocation [GEN], the phone, the phone, PersonX gets a call from the cook,1.0,0.298,0.298
[Name] texted the cook what she needed to prepare CapableOf [GEN], cook the meal, cook the meal, cook the food,1.0,0.872,0.872
[Name] texted the cook what she needed to prepare Causes [GEN], the food to be ready, the cook to prepare the food, PersonX gets a call from the cook,0.709,0.337,0.44
[Name] texted the cook what she needed to prepare CausesDesire [GEN], the food is ready, the food to be ready, PersonX asks the cook what she needs to prepare,0.958,0.451,0.464
[Name] texted the cook what she needed to prepare CreatedBy [GEN], cook the food, to prepare food, PersonX wants to make dinner,0.687,0.427,0.356
[Name] texted the cook what she needed to prepare DefinedAs [GEN], the food is ready, the food is ready, PersonX asks the cook to make dinner,1.0,0.425,0.425
[Name] texted the cook what she needed to prepare DesireOf [GEN], they cook the food, the food is ready, PersonX asks the cook to make dinner,0.646,0.439,0.425
[Name] texted the cook what she needed to prepare Desires [GEN], to make a meal, to be helpful, to be helpful,0.408,0.408,1.0
[Name] texted the cook what she needed to prepare HasA [GEN], cook the food, they cook the food, PersonX wants to make dinner,0.809,0.427,0.353
[Name] texted the cook what she needed to prepare HasFirstSubevent [GEN], they cook the food, they eat the food, PersonX cooks the meal,0.769,0.476,0.393
[Name] texted the cook what she needed to prepare HasLastSubevent [GEN], PersonY cooks the food, PersonX cooks the food, PersonX asks the cook what she needs to prepare,0.738,0.587,0.798
[Name] texted the cook what she needed to prepare HasPainCharacter [GEN], PersonY cooks the food, they cook the food, PersonX asks the cook to make dinner,0.757,0.618,0.439
[Name] texted the cook what she needed to prepare HasPainIntensity [GEN], they cook the food, they cook the food, PersonX gets a call from the cook,1.0,0.421,0.421
[Name] texted the cook what she needed to prepare HasPrerequisite [GEN], cook the food, get the recipe, PersonX asks the cook to make dinner,0.574,0.529,0.408
[Name] texted the cook what she needed to prepare HasProperty [GEN], prepared for the meal, the food to be ready, PersonX asks the cook what she needs to prepare,0.762,0.458,0.464
[Name] texted the cook what she needed to prepare HasSubEvent [GEN], cook the food, cook the food, PersonX eats the food,1.0,0.425,0.425
[Name] texted the cook what she needed to prepare HasSubevent [GEN], cook the food, the cook to prepare, PersonX wants to cook dinner,0.799,0.55,0.52
[Name] texted the cook what she needed to prepare HinderedBy [GEN], The cook doesn't have a phone., The cook doesn't have a phone., PersonX doesn't have a phone.,1.0,0.551,0.551
[Name] texted the cook what she needed to prepare InheritsFrom [GEN], the food to be ready, the food to be ready, PersonX asks the cook to make dinner,1.0,0.412,0.412
[Name] texted the cook what she needed to prepare InstanceOf [GEN], the food to be ready, PersonY asks PersonY what PersonY wants, PersonX wants to cook a meal,0.192,0.51,0.376
[Name] texted the cook what she needed to prepare IsA [GEN], the food to be ready, PersonX cooks the food, PersonX asks the cook what she needs to prepare,0.446,0.464,0.798
[Name] texted the cook what she needed to prepare LocatedNear [GEN], cook the food, the cook to prepare, PersonX wants to cook dinner,0.799,0.55,0.52
[Name] texted the cook what she needed to prepare LocationOfAction [GEN], the cook to prepare, the cook to prepare, PersonX wants to make dinner,1.0,0.375,0.375
[Name] texted the cook what she needed to prepare MadeOf [GEN], the cook to prepare, the cook to prepare, PersonX wants to make dinner,1.0,0.375,0.375
[Name] texted the cook what she needed to prepare MadeUpOf [GEN], text message, a phone, PersonX calls the cook,0.393,0.135,0.221
[Name] texted the cook what she needed to prepare MotivatedByGoal [GEN], they cook the food, the food to be ready, PersonX asks the cook to make dinner,0.659,0.439,0.412
[Name] texted the cook what she needed to prepare NotCapableOf [GEN], the food to be ready, they cook the food, PersonX asks the cook to make dinner,0.659,0.412,0.439
[Name] texted the cook what she needed to prepare NotDesires [GEN], cook the food, they eat the food, PersonX asks the cook to make dinner,0.6,0.529,0.315
[Name] texted the cook what she needed to prepare NotHasA [GEN], the food to be ready, PersonX cooks the food, PersonX cooks the meal,0.446,0.433,0.965
[Name] texted the cook what she needed to prepare NotHasProperty [GEN], the food to be ready, the food to be ready, PersonX wants to make dinner,1.0,0.446,0.446
[Name] texted the cook what she needed to prepare NotIsA [GEN], the food to be ready, PersonX cooks the food, PersonX asks the cook to make dinner,0.446,0.412,0.811
[Name] texted the cook what she needed to prepare NotMadeOf [GEN], cook the food, the food to be ready, PersonX asks the cook to make dinner,0.716,0.529,0.412
[Name] texted the cook what she needed to prepare ObjectUse [GEN], to make a meal, to get the cook's attention, to have a good meal,0.633,0.908,0.588
[Name] texted the cook what she needed to prepare PartOf [GEN], cook the food, get the ingredients, PersonX asks the cook to make dinner,0.304,0.529,0.176
[Name] texted the cook what she needed to prepare ReceivesAction [GEN], they cook the food, the food is ready, PersonX asks the cook to make dinner,0.646,0.439,0.425
[Name] texted the cook what she needed to prepare RelatedTo [GEN], they cook the food, the food to be ready, PersonX asks the cook what she needs to prepare,0.659,0.429,0.464
[Name] texted the cook what she needed to prepare SymbolOf [GEN], they cook the food, they cook the food, PersonX asks the cook what she needs to prepare,1.0,0.429,0.429
[Name] texted the cook what she needed to prepare UsedFor [GEN], cook the food, get the ingredients, PersonX receives a text from the cook,0.304,0.405,0.168
[Name] texted the cook what she needed to prepare isAfter [GEN], PersonY asks PersonY what they need to prepare, PersonY asks PersonY what they need to prepare, PersonX wants to cook a meal,1.0,0.379,0.379
[Name] texted the cook what she needed to prepare isBefore [GEN], PersonY eats the food, PersonX eats the food, PersonX eats the food,0.802,0.802,1.0
[Name] texted the cook what she needed to prepare isFilledBy [GEN], food, food, food,1.0,1.0,1.0
[Name] texted the cook what she needed to prepare oEffect [GEN], none, none, none,1.0,1.0,1.0
[Name] texted the cook what she needed to prepare oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] texted the cook what she needed to prepare oWant [GEN], to cook the food, to eat the food, to cook the food,0.804,1.0,0.804
[Name] texted the cook what she needed to prepare xAttr [GEN], helpful, helpful, helpful,1.0,1.0,1.0
[Name] texted the cook what she needed to prepare xEffect [GEN], gets yelled at, gets a thank you, gets a thank you,0.28,0.28,1.0
[Name] texted the cook what she needed to prepare xIntent [GEN], to be helpful, to be helpful, to be helpful,1.0,1.0,1.0
[Name] texted the cook what she needed to prepare xNeed [GEN], to know what to prepare, to get the cook's attention, to find the cook's number,0.329,0.197,0.585
[Name] texted the cook what she needed to prepare xReact [GEN], satisfied, satisfied, satisfied,1.0,1.0,1.0
[Name] texted the cook what she needed to prepare xReason [GEN], PersonY cooks the food, the food to be ready, PersonX asks the cook to make dinner,0.595,0.618,0.412
[Name] texted the cook what she needed to prepare xWant [GEN], to eat the food, to eat the food, to eat the food,1.0,1.0,1.0
[Name] texted the cook what he thought the boss wanted AtLocation [GEN], the boss, the boss, PersonX asks the boss for a favor,1.0,0.488,0.488
[Name] texted the cook what he thought the boss wanted CapableOf [GEN], cook the food, get the job done, PersonX tells the boss what they want,0.201,0.027,0.335
[Name] texted the cook what he thought the boss wanted Causes [GEN], PersonY asks PersonY what the boss wants, the boss gets the job done, PersonX asks the boss what the boss wants,0.624,0.841,0.586
[Name] texted the cook what he thought the boss wanted CausesDesire [GEN], PersonY asks PersonY what the boss wants, the boss wants to know what the cook wants, PersonX asks the boss what the boss wants,0.543,0.841,0.471
[Name] texted the cook what he thought the boss wanted CreatedBy [GEN], the boss to know what they want, to get a job, good about themselves,0.436,0.087,0.182
[Name] texted the cook what he thought the boss wanted DefinedAs [GEN], PersonY asks PersonY what the boss wants, PersonY asks PersonY what the boss wants, PersonX asks the boss what they want,1.0,0.821,0.821
[Name] texted the cook what he thought the boss wanted DesireOf [GEN], the boss to be happy, the boss wants to know, PersonX asks the boss what the boss wants,0.612,0.535,0.595
[Name] texted the cook what he thought the boss wanted Desires [GEN], to communicate with the boss, to get the job done, to know what the boss wants,0.58,0.789,0.637
[Name] texted the cook what he thought the boss wanted HasA [GEN], PersonY asks PersonY what they want, the boss wants to know, PersonX wants to get the boss's attention,0.251,0.44,0.48
[Name] texted the cook what he thought the boss wanted HasFirstSubevent [GEN], PersonY asks what PersonY wants, they get a raise, PersonX tells the boss what they want,0.124,0.465,0.239
[Name] texted the cook what he thought the boss wanted HasLastSubevent [GEN], PersonY asks PersonY what the boss wants, PersonY asks PersonY what the boss wants, PersonX asks the boss what they want,1.0,0.821,0.821
[Name] texted the cook what he thought the boss wanted HasPainCharacter [GEN], PersonY asks PersonY what the boss wants, PersonY asks PersonY what the boss wants, PersonX asks the boss what they want,1.0,0.821,0.821
[Name] texted the cook what he thought the boss wanted HasPainIntensity [GEN], PersonY asks PersonY what they want, get the job done, PersonX gets a call from the boss,0.229,0.34,0.295
[Name] texted the cook what he thought the boss wanted HasPrerequisite [GEN], PersonY asks PersonY what they want, the boss to know, PersonX tells the boss what they want,0.206,0.496,0.506
[Name] texted the cook what he thought the boss wanted HasProperty [GEN], the boss wants to know, the boss wants to know what they think, PersonX tells the boss what they want,0.781,0.503,0.57
[Name] texted the cook what he thought the boss wanted HasSubEvent [GEN], get the job done, get the job done, PersonX tells the boss what they think,1.0,0.304,0.304
[Name] texted the cook what he thought the boss wanted HasSubevent [GEN], the boss to know what they want, the boss to know, good about themselves,0.789,0.087,0.119
[Name] texted the cook what he thought the boss wanted HinderedBy [GEN], The boss doesn't want to talk to anyone., They don't have a phone., PersonX doesn't have a phone.,0.394,0.307,0.695
[Name] texted the cook what he thought the boss wanted InheritsFrom [GEN], the boss to know what they want, the boss wants to know, PersonX asks the boss what they want,0.767,0.66,0.527
[Name] texted the cook what he thought the boss wanted InstanceOf [GEN], the boss to be happy, the boss wants to know, PersonX wants to get a promotion,0.612,0.189,0.1
[Name] texted the cook what he thought the boss wanted IsA [GEN], PersonY asks PersonY what the boss wants, PersonY asks PersonY what they want, PersonX asks the boss for a favor,0.749,0.738,0.448
[Name] texted the cook what he thought the boss wanted LocatedNear [GEN], to get the boss's attention, to get the boss's attention, to get the job done,1.0,0.653,0.653
[Name] texted the cook what he thought the boss wanted LocationOfAction [GEN], the boss to know what they want, the boss wants to know, person x wants to make the boss happy,0.767,0.583,0.529
[Name] texted the cook what he thought the boss wanted MadeOf [GEN], the boss wants to be informed, the boss wants to know, PersonX asks the boss for a favor,0.771,0.488,0.478
[Name] texted the cook what he thought the boss wanted MadeUpOf [GEN], the boss, the boss, PersonX asks the boss what the boss wants,1.0,0.546,0.546
[Name] texted the cook what he thought the boss wanted MotivatedByGoal [GEN], PersonY asks PersonY what the boss wants, the boss gets a new cook, PersonX asks the boss what the boss wants,0.385,0.841,0.364
[Name] texted the cook what he thought the boss wanted NotCapableOf [GEN], PersonY asks PersonY what they want, the boss wants to know, PersonX asks the boss what they want,0.251,0.588,0.527
[Name] texted the cook what he thought the boss wanted NotDesires [GEN], PersonY gets fired., the boss wants to know, PersonX tells the boss what they want,0.244,0.475,0.503
[Name] texted the cook what he thought the boss wanted NotHasA [GEN], PersonY asks PersonY what the boss wants, PersonY asks PersonY what the boss wants, PersonX asks the boss what the boss wants,1.0,0.841,0.841
[Name] texted the cook what he thought the boss wanted NotHasProperty [GEN], the boss wants to know, the boss wants to know, good about themselves,1.0,0.064,0.064
[Name] texted the cook what he thought the boss wanted NotIsA [GEN], PersonY asks PersonY what the boss wants, PersonY asks PersonY what the boss wants, PersonX asks the boss what they want,1.0,0.821,0.821
[Name] texted the cook what he thought the boss wanted NotMadeOf [GEN], PersonY asks PersonY what the boss wants, the boss wants to know, PersonX asks the boss what the boss wants,0.628,0.841,0.595
[Name] texted the cook what he thought the boss wanted ObjectUse [GEN], to get the boss's attention, to get the boss's attention, to get the boss's attention,1.0,1.0,1.0
[Name] texted the cook what he thought the boss wanted PartOf [GEN], PersonY asks PersonY what they want, they get the job done, PersonX tells the boss what they want,0.253,0.496,0.317
[Name] texted the cook what he thought the boss wanted ReceivesAction [GEN], PersonY asks PersonY what they want, the boss wants to know, PersonX asks the boss for a favor,0.251,0.448,0.478
[Name] texted the cook what he thought the boss wanted RelatedTo [GEN], PersonY asks PersonY what the boss wants, the boss to be happy, PersonX asks the boss what they want,0.542,0.821,0.484
[Name] texted the cook what he thought the boss wanted SymbolOf [GEN], PersonY asks PersonY what the boss wants, the boss to be happy, PersonX asks the boss what they want,0.542,0.821,0.484
