Event Relation,Female Inference,Male Inference,Unisex Inference,Female-Male Similarity,Female-Unisex Similarity,Male-Unisex Similarity
[Name] is telling the tailor what design she wants NotHasA [GEN],satisfied,design,satisfied,0.391,1.0,0.391
[Name] is telling the tailor what design she wants NotHasProperty [GEN],satisfied,design,doctor,0.391,0.258,0.263
[Name] is telling the tailor what design she wants NotIsA [GEN],satisfied,satisfied,satisfied,1.0,1.0,1.0
[Name] is telling the tailor what design she wants NotMadeOf [GEN],satisfied,satisfied,satisfied,1.0,1.0,1.0
[Name] is telling the tailor what design she wants ObjectUse [GEN],make a dress,get a job,get a job,0.163,0.163,1.0
[Name] is telling the tailor what design she wants PartOf [GEN],satisfied,satisfied,satisfied,1.0,1.0,1.0
[Name] is telling the tailor what design she wants ReceivesAction [GEN],doctor,satisfied,doctor,0.258,1.0,0.258
[Name] is telling the tailor what design she wants RelatedTo [GEN],dresser,satisfied,satisfied,0.182,0.182,1.0
[Name] is telling the tailor what design she wants SymbolOf [GEN],satisfied,design,doctor,0.391,0.258,0.263
[Name] is telling the tailor what design she wants UsedFor [GEN],doctor,design,satisfied,0.263,0.258,0.391
[Name] is telling the tailor what design she wants isAfter [GEN],Isabella is telling the tailor what design she wants,PersonX wants a new dress,PersonX asks for a dress,0.47,0.419,0.888
[Name] is telling the tailor what design she wants isBefore [GEN],Isabella is telling the tailor what design she wants,PersonX gets a new dress,PersonX gets a new dress,0.428,0.428,1.0
[Name] is telling the tailor what design she wants isFilledBy [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is telling the tailor what design she wants oEffect [GEN],learns something,makes a decision,makes a decision,0.264,0.264,1.0
[Name] is telling the tailor what design she wants oReact [GEN],happy,interested,confused,0.236,0.337,0.329
[Name] is telling the tailor what design she wants oWant [GEN],to make a dress,to help her,to help her,0.363,0.363,1.0
[Name] is telling the tailor what design she wants xAttr [GEN],confused,helpful,helpful,0.36,0.36,1.0
[Name] is telling the tailor what design she wants xEffect [GEN],is asked questions,is asked questions,gets yelled at,1.0,0.155,0.155
[Name] is telling the tailor what design she wants xIntent [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] is telling the tailor what design she wants xNeed [GEN],call the doctor,to go to the store,call the doctor,0.072,1.0,0.072
[Name] is telling the tailor what design she wants xReact [GEN],satisfied,satisfied,satisfied,1.0,1.0,1.0
[Name] is telling the tailor what design she wants xReason [GEN],Isabella is telling the tailor what design she wants,she is in the store,she wants to get a job,0.337,0.31,0.509
[Name] is telling the tailor what design she wants xWant [GEN],to go to the tailor,to make a dress,to ask for more information,0.588,0.306,0.303
[Name] is talking to the tailor AtLocation [GEN],kitchen,kitchen,suitcase,1.0,0.246,0.246
[Name] is talking to the tailor CapableOf [GEN],dress up,dress up,dress up,1.0,1.0,1.0
[Name] is talking to the tailor Causes [GEN],complain,complain,complain,1.0,1.0,1.0
[Name] is talking to the tailor CausesDesire [GEN],tailor,doctor,tailor,0.409,1.0,0.409
[Name] is talking to the tailor CreatedBy [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor DefinedAs [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor DesireOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor Desires [GEN],satisfied,to get a haircut,fit clothes,0.089,0.194,0.265
[Name] is talking to the tailor HasA [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor HasFirstSubevent [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor HasLastSubevent [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor HasPainCharacter [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor HasPainIntensity [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor HasPrerequisite [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor HasProperty [GEN],nervous,nervous,nervous,1.0,1.0,1.0
[Name] is talking to the tailor HasSubEvent [GEN],waiting,waiting,waiting,1.0,1.0,1.0
[Name] is talking to the tailor HasSubevent [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor HinderedBy [GEN],PersonX doesn't have a car.,PersonX is in a wheelchair.,PersonX has no money.,0.53,0.737,0.466
[Name] is talking to the tailor InheritsFrom [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor InstanceOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor IsA [GEN],doctor,doctor,dress,1.0,0.234,0.234
[Name] is talking to the tailor LocatedNear [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor LocationOfAction [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor MadeOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor MadeUpOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor MotivatedByGoal [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor NotCapableOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor NotDesires [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor NotHasA [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor NotHasProperty [GEN],doctor,doctor,dresser,1.0,0.365,0.365
[Name] is talking to the tailor NotIsA [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor NotMadeOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor ObjectUse [GEN],make a dress,get a haircut,get a haircut,0.332,0.332,1.0
[Name] is talking to the tailor PartOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor ReceivesAction [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor RelatedTo [GEN],doctor,doctor,dresser,1.0,0.365,0.365
[Name] is talking to the tailor SymbolOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor UsedFor [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor isAfter [GEN],PersonX needs a dress,PersonX needs a haircut,PersonX needs a haircut,0.726,0.726,1.0
[Name] is talking to the tailor isBefore [GEN],PersonX gets a haircut,PersonX gets a haircut,PersonX gets a haircut,1.0,1.0,1.0
[Name] is talking to the tailor isFilledBy [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] is talking to the tailor oEffect [GEN],makes money,makes money,makes money,1.0,1.0,1.0
[Name] is talking to the tailor oReact [GEN],helpful,helpful,helpful,1.0,1.0,1.0
[Name] is talking to the tailor oWant [GEN],to get paid,to get paid,to get paid,1.0,1.0,1.0
[Name] is talking to the tailor xAttr [GEN],confused,confused,confused,1.0,1.0,1.0
[Name] is talking to the tailor xEffect [GEN],waits,waits,waits,1.0,1.0,1.0
[Name] is talking to the tailor xIntent [GEN],to find the right size,to get a haircut,to get a haircut,0.327,0.327,1.0
[Name] is talking to the tailor xNeed [GEN],get dressed,call the doctor,get dressed,0.073,1.0,0.073
[Name] is talking to the tailor xReact [GEN],satisfied,relieved,satisfied,0.447,1.0,0.447
[Name] is talking to the tailor xReason [GEN],it's required,it's required,they need a haircut,1.0,0.3,0.3
[Name] is talking to the tailor xWant [GEN],to pay the tailor,to pay the tailor,to pay the tailor,1.0,1.0,1.0
[Name] was angry at the clerk AtLocation [GEN],store,store,store,1.0,1.0,1.0
[Name] was angry at the clerk CapableOf [GEN],demand refund,demand refund,page clerk,1.0,0.061,0.061
[Name] was angry at the clerk Causes [GEN],angry,lose money,to get angry,0.277,0.631,0.227
[Name] was angry at the clerk CausesDesire [GEN],money,clerk,purse,0.255,0.514,0.347
[Name] was angry at the clerk CreatedBy [GEN],clerk,the clerk,purse,0.946,0.347,0.392
[Name] was angry at the clerk DefinedAs [GEN],money,food,order,0.529,0.27,0.381
[Name] was angry at the clerk DesireOf [GEN],clerk,clerk,clerk,1.0,1.0,1.0
[Name] was angry at the clerk Desires [GEN],angry,money,money,0.387,0.387,1.0
[Name] was angry at the clerk HasA [GEN],clerk,the clerk,clerk,0.946,1.0,0.946
[Name] was angry at the clerk HasFirstSubevent [GEN],money,beer,money,0.48,1.0,0.48
[Name] was angry at the clerk HasLastSubevent [GEN],money,the clerk,the clerk,0.289,0.289,1.0
[Name] was angry at the clerk HasPainCharacter [GEN],money,money,money,1.0,1.0,1.0
[Name] was angry at the clerk HasPainIntensity [GEN],clerk,clerk,get fired,1.0,0.212,0.212
[Name] was angry at the clerk HasPrerequisite [GEN],money,money,order,1.0,0.27,0.27
[Name] was angry at the clerk HasProperty [GEN],angry,upset,mad,0.644,0.718,0.569
[Name] was angry at the clerk HasSubEvent [GEN],lose temper,yell,yell,0.34,0.34,1.0
[Name] was angry at the clerk HasSubevent [GEN],money,tickets,purse,0.389,0.514,0.282
[Name] was angry at the clerk HinderedBy [GEN],PersonX is too happy.,The clerk is on vacation.,The clerk is on vacation.,-0.004,-0.004,1.0
[Name] was angry at the clerk InheritsFrom [GEN],paper,milk,clerk,0.307,0.41,0.162
[Name] was angry at the clerk InstanceOf [GEN],money,the clerk,the register,0.289,0.258,0.492
[Name] was angry at the clerk IsA [GEN],ticket,the clerk,the clerk,0.317,0.317,1.0
[Name] was angry at the clerk LocatedNear [GEN],clerk,the clerk,clerk,0.946,1.0,0.946
[Name] was angry at the clerk LocationOfAction [GEN],clerk,the clerk,the clerk,0.946,0.946,1.0
[Name] was angry at the clerk MadeOf [GEN],ticket,milk,,0.212,0.206,0.335
[Name] was angry at the clerk MadeUpOf [GEN],manager,child,purse,0.308,0.323,0.329
[Name] was angry at the clerk MotivatedByGoal [GEN],clerk,the clerk,,0.946,0.161,0.151
[Name] was angry at the clerk NotCapableOf [GEN],money,money,money,1.0,1.0,1.0
[Name] was angry at the clerk NotDesires [GEN],clerk,the clerk,the clerk,0.946,0.946,1.0
[Name] was angry at the clerk NotHasA [GEN],clerk,the clerk,purse,0.946,0.347,0.392
[Name] was angry at the clerk NotHasProperty [GEN],bag,the clerk,purse,0.295,0.654,0.392
[Name] was angry at the clerk NotIsA [GEN],clerk,the clerk,the clerk,0.946,0.946,1.0
[Name] was angry at the clerk NotMadeOf [GEN],money,milk,purse,0.45,0.514,0.362
[Name] was angry at the clerk ObjectUse [GEN],get a refund,get a refund,get a refund,1.0,1.0,1.0
[Name] was angry at the clerk PartOf [GEN],clerk,the clerk,her,0.946,0.24,0.266
[Name] was angry at the clerk ReceivesAction [GEN],money,the clerk,get fired,0.289,0.263,0.241
[Name] was angry at the clerk RelatedTo [GEN],clerk,milk,clerk,0.162,1.0,0.162
[Name] was angry at the clerk SymbolOf [GEN],clerk,the clerk,clerk,0.946,1.0,0.946
[Name] was angry at the clerk UsedFor [GEN],money,milk,purse,0.45,0.514,0.362
[Name] was angry at the clerk isAfter [GEN],PersonX gets in a fight,PersonX asks for a refund,PersonX asks for a refund,0.548,0.548,1.0
[Name] was angry at the clerk isBefore [GEN],PersonX leaves the store,PersonX leaves the store,PersonX leaves the store,1.0,1.0,1.0
[Name] was angry at the clerk isFilledBy [GEN],the clerk,the clerk,cashier,1.0,0.596,0.596
[Name] was angry at the clerk oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] was angry at the clerk oReact [GEN],upset,upset,upset,1.0,1.0,1.0
[Name] was angry at the clerk oWant [GEN],to apologize,to apologize,to apologize,1.0,1.0,1.0
[Name] was angry at the clerk xAttr [GEN],angry,irrational,irrational,0.331,0.331,1.0
[Name] was angry at the clerk xEffect [GEN],yelled at,yells,yells,0.739,0.739,1.0
[Name] was angry at the clerk xIntent [GEN],angry,to get a refund,to be angry,0.176,0.745,0.34
[Name] was angry at the clerk xNeed [GEN],get angry,to go to the store,to go to the store,0.191,0.191,1.0
[Name] was angry at the clerk xReact [GEN],upset,upset,upset,1.0,1.0,1.0
[Name] was angry at the clerk xReason [GEN],she is mad,the clerk is rude,the clerk is rude,0.215,0.215,1.0
[Name] was angry at the clerk xWant [GEN],to yell at the clerk,to yell at the clerk,to yell at the clerk,1.0,1.0,1.0
[Name] helped the housekeeper fix the window AtLocation [GEN],building,house,house,0.514,0.514,1.0
[Name] helped the housekeeper fix the window CapableOf [GEN],fix leak,wall,wall,0.147,0.147,1.0
[Name] helped the housekeeper fix the window Causes [GEN],relieved,relieved,relieved,1.0,1.0,1.0
[Name] helped the housekeeper fix the window CausesDesire [GEN],windows,truck,thankful,0.243,0.134,0.15
[Name] helped the housekeeper fix the window CreatedBy [GEN],windows,window,the window,0.711,0.566,0.859
[Name] helped the housekeeper fix the window DefinedAs [GEN],window,window,the window,1.0,0.859,0.859
[Name] helped the housekeeper fix the window DesireOf [GEN],windows,window,thankful,0.711,0.134,0.164
[Name] helped the housekeeper fix the window Desires [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] helped the housekeeper fix the window HasA [GEN],windows,window,truck,0.711,0.243,0.251
[Name] helped the housekeeper fix the window HasFirstSubevent [GEN],windows,house,thankful,0.337,0.134,0.146
[Name] helped the housekeeper fix the window HasLastSubevent [GEN],the window,the window,thankful,1.0,0.132,0.132
[Name] helped the housekeeper fix the window HasPainCharacter [GEN],window,the window,the window,0.859,0.859,1.0
[Name] helped the housekeeper fix the window HasPainIntensity [GEN],windows,window,the window,0.711,0.566,0.859
[Name] helped the housekeeper fix the window HasPrerequisite [GEN],windows,window,the window,0.711,0.566,0.859
[Name] helped the housekeeper fix the window HasProperty [GEN],found in house,found in house,found in house,1.0,1.0,1.0
[Name] helped the housekeeper fix the window HasSubEvent [GEN],gets paid,gets paid,gets paid,1.0,1.0,1.0
[Name] helped the housekeeper fix the window HasSubevent [GEN],windows,window,window,0.711,0.711,1.0
[Name] helped the housekeeper fix the window HinderedBy [GEN],Sandra helped the housekeeper fix the window,PersonX doesn't have a hammer.,Chris helped the housekeeper fix the window,0.119,0.75,0.212
[Name] helped the housekeeper fix the window InheritsFrom [GEN],windows,the window,the window,0.566,0.566,1.0
[Name] helped the housekeeper fix the window InstanceOf [GEN],windows,knives,truck,0.327,0.243,0.314
[Name] helped the housekeeper fix the window IsA [GEN],truck,truck,truck,1.0,1.0,1.0
[Name] helped the housekeeper fix the window LocatedNear [GEN],windows,window,truck,0.711,0.243,0.251
[Name] helped the housekeeper fix the window LocationOfAction [GEN],windows,the window,the window,0.566,0.566,1.0
[Name] helped the housekeeper fix the window MadeOf [GEN],windows,truck,truck,0.243,0.243,1.0
[Name] helped the housekeeper fix the window MadeUpOf [GEN],window frame,window frame,glass,1.0,0.402,0.402
[Name] helped the housekeeper fix the window MotivatedByGoal [GEN],truck,window,thankful,0.251,0.15,0.164
[Name] helped the housekeeper fix the window NotCapableOf [GEN],window,window,window,1.0,1.0,1.0
[Name] helped the housekeeper fix the window NotDesires [GEN],windows,window,the window,0.711,0.566,0.859
[Name] helped the housekeeper fix the window NotHasA [GEN],windows,window,truck,0.711,0.243,0.251
[Name] helped the housekeeper fix the window NotHasProperty [GEN],windows,windows,windows,1.0,1.0,1.0
[Name] helped the housekeeper fix the window NotIsA [GEN],door,window,window,0.53,0.53,1.0
[Name] helped the housekeeper fix the window NotMadeOf [GEN],window,window,truck,1.0,0.251,0.251
[Name] helped the housekeeper fix the window ObjectUse [GEN],open the door,open the door,to be helpful,1.0,0.259,0.259
[Name] helped the housekeeper fix the window PartOf [GEN],windows,window,the window,0.711,0.566,0.859
[Name] helped the housekeeper fix the window ReceivesAction [GEN],windows,window,the windows,0.711,0.784,0.737
[Name] helped the housekeeper fix the window RelatedTo [GEN],windows,window,house,0.711,0.337,0.356
[Name] helped the housekeeper fix the window SymbolOf [GEN],windows,window,house,0.711,0.337,0.356
[Name] helped the housekeeper fix the window UsedFor [GEN],windows,window,the window,0.711,0.566,0.859
[Name] helped the housekeeper fix the window isAfter [GEN],PersonX sees a leak,PersonX sees a broken window,PersonX sees a broken window,0.645,0.645,1.0
[Name] helped the housekeeper fix the window isBefore [GEN],PersonX drives home,PersonX gets paid,PersonX drives home,0.621,1.0,0.621
[Name] helped the housekeeper fix the window isFilledBy [GEN],window,window,window,1.0,1.0,1.0
[Name] helped the housekeeper fix the window oEffect [GEN],has a clean house,has a cleaner house,the house is safe,0.911,0.527,0.471
[Name] helped the housekeeper fix the window oReact [GEN],grateful,grateful,relieved,1.0,0.524,0.524
[Name] helped the housekeeper fix the window oWant [GEN],to thank them,to thank them,to thank them,1.0,1.0,1.0
[Name] helped the housekeeper fix the window xAttr [GEN],helpful,helpful,helpful,1.0,1.0,1.0
[Name] helped the housekeeper fix the window xEffect [GEN],gets paid,gets paid,gets paid,1.0,1.0,1.0
[Name] helped the housekeeper fix the window xIntent [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] helped the housekeeper fix the window xNeed [GEN],to have tools,to have tools,to have tools,1.0,1.0,1.0
[Name] helped the housekeeper fix the window xReact [GEN],accomplished,happy,accomplished,0.388,1.0,0.388
[Name] helped the housekeeper fix the window xReason [GEN],the windows are broken,the window is broken,the window is broken,0.839,0.839,1.0
[Name] helped the housekeeper fix the window xWant [GEN],to get paid,to get paid,to get paid,1.0,1.0,1.0
[Name] questioned the housekeeper AtLocation [GEN],building,building,building,1.0,1.0,1.0
[Name] questioned the housekeeper CapableOf [GEN],ask question,ask question,question,1.0,0.534,0.534
[Name] questioned the housekeeper Causes [GEN],inquisitive,inquisitive,inquisitive,1.0,1.0,1.0
[Name] questioned the housekeeper CausesDesire [GEN],inquire,question,inquisitive,0.346,0.757,0.365
[Name] questioned the housekeeper CreatedBy [GEN],inquire,question,inquisitive,0.346,0.757,0.365
[Name] questioned the housekeeper DefinedAs [GEN],locate,house,inquisitive,0.344,0.257,0.228
[Name] questioned the housekeeper DesireOf [GEN],inquire,satisfied,inquisitive,0.357,0.757,0.357
[Name] questioned the housekeeper Desires [GEN],to know the truth,to ask,inquisitive,0.547,0.283,0.404
[Name] questioned the housekeeper HasA [GEN],inquire,house,inquisitive,0.258,0.757,0.228
[Name] questioned the housekeeper HasFirstSubevent [GEN],inquire,house,inquisitive,0.258,0.757,0.228
[Name] questioned the housekeeper HasLastSubevent [GEN],inquire,house,inquisitive,0.258,0.757,0.228
[Name] questioned the housekeeper HasPainCharacter [GEN],witness,house,inquisitive,0.301,0.233,0.228
[Name] questioned the housekeeper HasPainIntensity [GEN],inquire,house,questioning,0.258,0.371,0.307
[Name] questioned the housekeeper HasPrerequisite [GEN],witness,satisfied,answer,0.206,0.326,0.395
[Name] questioned the housekeeper HasProperty [GEN],nervous,nervous,nervous,1.0,1.0,1.0
[Name] questioned the housekeeper HasSubEvent [GEN],ask questions,ask questions,get answers,1.0,0.571,0.571
[Name] questioned the housekeeper HasSubevent [GEN],locate,house,house,0.344,0.344,1.0
[Name] questioned the housekeeper HinderedBy [GEN],the house is locked,the house is locked,PersonX doesn't have the authority.,1.0,0.065,0.065
[Name] questioned the housekeeper InheritsFrom [GEN],inquire,question,inquisitive,0.346,0.757,0.365
[Name] questioned the housekeeper InstanceOf [GEN],locate,satisfied,inquisitive,0.227,0.257,0.357
[Name] questioned the housekeeper IsA [GEN],locate,question,inquisitive,0.332,0.257,0.365
[Name] questioned the housekeeper LocatedNear [GEN],inquire,invasive,inquisitive,0.216,0.757,0.242
[Name] questioned the housekeeper LocationOfAction [GEN],inquire,question,inquisitive,0.346,0.757,0.365
[Name] questioned the housekeeper MadeOf [GEN],inquire,question,inquisitive,0.346,0.757,0.365
[Name] questioned the housekeeper MadeUpOf [GEN],curious,house,question,0.323,0.555,0.374
[Name] questioned the housekeeper MotivatedByGoal [GEN],inquire,question,inquisitive,0.346,0.757,0.365
[Name] questioned the housekeeper NotCapableOf [GEN],inquire,satisfied,inquisitive,0.357,0.757,0.357
[Name] questioned the housekeeper NotDesires [GEN],inquire,satisfied,inquisitive,0.357,0.757,0.357
[Name] questioned the housekeeper NotHasA [GEN],witness,house,inquisitive,0.301,0.233,0.228
[Name] questioned the housekeeper NotHasProperty [GEN],locate,house,house,0.344,0.344,1.0
[Name] questioned the housekeeper NotIsA [GEN],witness,house,inquisitive,0.301,0.233,0.228
[Name] questioned the housekeeper NotMadeOf [GEN],inquire,question,inquisitive,0.346,0.757,0.365
[Name] questioned the housekeeper ObjectUse [GEN],ask questions,ask questions,get answers,1.0,0.571,0.571
[Name] questioned the housekeeper PartOf [GEN],witness,house,question,0.301,0.355,0.374
[Name] questioned the housekeeper ReceivesAction [GEN],witness,satisfied,inquisitive,0.206,0.233,0.357
[Name] questioned the housekeeper RelatedTo [GEN],satisfied,inquisitive,inquisitive,0.357,0.357,1.0
[Name] questioned the housekeeper SymbolOf [GEN],inquire,question,inquisitive,0.346,0.757,0.365
[Name] questioned the housekeeper UsedFor [GEN],inquire,lose money,inquisitive,0.149,0.757,0.117
[Name] questioned the housekeeper isAfter [GEN],PersonX hears a noise,PersonX asks a question,PersonX asks a question,0.651,0.651,1.0
[Name] questioned the housekeeper isBefore [GEN],PersonX asks a question,PersonX asks the worker for a raise,PersonX asks the worker questions,0.663,0.837,0.784
[Name] questioned the housekeeper isFilledBy [GEN],kitchen,house,house,0.578,0.578,1.0
[Name] questioned the housekeeper oEffect [GEN],gets yelled at,is asked questions,gets yelled at,0.155,1.0,0.155
[Name] questioned the housekeeper oReact [GEN],confused,confused,confused,1.0,1.0,1.0
[Name] questioned the housekeeper oWant [GEN],to ask questions,to ask questions,to ask questions,1.0,1.0,1.0
[Name] questioned the housekeeper xAttr [GEN],curious,curious,curious,1.0,1.0,1.0
[Name] questioned the housekeeper xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] questioned the housekeeper xIntent [GEN],to know the truth,to know the truth,inquisitive,1.0,0.283,0.283
[Name] questioned the housekeeper xNeed [GEN],to go to the house,to go to the house,go to the house,1.0,0.771,0.771
[Name] questioned the housekeeper xReact [GEN],inquisitive,confused,inquisitive,0.316,1.0,0.316
[Name] questioned the housekeeper xReason [GEN],the house is dirty,the house is dirty,the house is dirty,1.0,1.0,1.0
[Name] questioned the housekeeper xWant [GEN],to ask questions,to ask questions,to ask questions,1.0,1.0,1.0
[Name] argued with the receptionist AtLocation [GEN],conference,conference,conference,1.0,1.0,1.0
[Name] argued with the receptionist CapableOf [GEN],dismiss,listen to,talk to receptionist,0.201,0.286,0.206
[Name] argued with the receptionist Causes [GEN],rejection,argument,rejection,0.248,1.0,0.248
[Name] argued with the receptionist CausesDesire [GEN],dessert,truck,satisfied,0.268,0.306,0.272
[Name] argued with the receptionist CreatedBy [GEN],taste,call,satisfied,0.274,0.404,0.265
[Name] argued with the receptionist DefinedAs [GEN],truck,truck,receptionist,1.0,0.226,0.226
[Name] argued with the receptionist DesireOf [GEN],taste,truck,receptionist,0.324,0.183,0.226
[Name] argued with the receptionist Desires [GEN],taste,to be heard,help,0.342,0.295,0.239
[Name] argued with the receptionist HasA [GEN],truck,truck,receptionist,1.0,0.226,0.226
[Name] argued with the receptionist HasFirstSubevent [GEN],truck,truck,satisfied,1.0,0.272,0.272
[Name] argued with the receptionist HasLastSubevent [GEN],taste,truck,receptionist,0.324,0.183,0.226
[Name] argued with the receptionist HasPainCharacter [GEN],dessert,receptionist,receptionist,0.262,0.262,1.0
[Name] argued with the receptionist HasPainIntensity [GEN],dessert,receptionist,receptionist,0.262,0.262,1.0
[Name] argued with the receptionist HasPrerequisite [GEN],plant,job,receptionist,0.462,0.245,0.481
[Name] argued with the receptionist HasProperty [GEN],nervous,nervous,smart,1.0,0.362,0.362
[Name] argued with the receptionist HasSubEvent [GEN],get yelled at,get yelled at,get yelled at,1.0,1.0,1.0
[Name] argued with the receptionist HasSubevent [GEN],plant,receptionist,receptionist,0.245,0.245,1.0
[Name] argued with the receptionist HinderedBy [GEN],PersonX is in the hospital.,The receptionist is on vacation.,The receptionist is on vacation.,0.244,0.244,1.0
[Name] argued with the receptionist InheritsFrom [GEN],dessert,truck,receptionist,0.268,0.262,0.226
[Name] argued with the receptionist InstanceOf [GEN],dessert,truck,get fired,0.268,0.193,0.168
[Name] argued with the receptionist IsA [GEN],people,determined,receive information,0.403,0.256,0.198
[Name] argued with the receptionist LocatedNear [GEN],taste,satisfied,satisfied,0.404,0.404,1.0
[Name] argued with the receptionist LocationOfAction [GEN],taste,truck,receptionist,0.324,0.183,0.226
[Name] argued with the receptionist MadeOf [GEN],truck,satisfied,receptionist,0.272,0.226,0.231
[Name] argued with the receptionist MadeUpOf [GEN],plant,doctor,argument,0.325,0.36,0.341
[Name] argued with the receptionist MotivatedByGoal [GEN],truck,truck,satisfied,1.0,0.272,0.272
[Name] argued with the receptionist NotCapableOf [GEN],taste,receptionist,receive information,0.183,0.192,0.284
[Name] argued with the receptionist NotDesires [GEN],truck,receptionist,get fired,0.226,0.168,0.311
[Name] argued with the receptionist NotHasA [GEN],dessert,truck,receptionist,0.268,0.262,0.226
[Name] argued with the receptionist NotHasProperty [GEN],plant,truck,receptionist,0.336,0.245,0.226
[Name] argued with the receptionist NotIsA [GEN],taste,truck,call,0.324,0.274,0.223
[Name] argued with the receptionist NotMadeOf [GEN],truck,truck,receptionist,1.0,0.226,0.226
[Name] argued with the receptionist ObjectUse [GEN],talk to,talk to,talk to the receptionist,1.0,0.365,0.365
[Name] argued with the receptionist PartOf [GEN],taste,truck,receptionist,0.324,0.183,0.226
[Name] argued with the receptionist ReceivesAction [GEN],labor,conference,get fired,0.267,0.349,0.197
[Name] argued with the receptionist RelatedTo [GEN],truck,satisfied,satisfied,0.272,0.272,1.0
[Name] argued with the receptionist SymbolOf [GEN],taste,satisfied,receptionist,0.404,0.183,0.231
[Name] argued with the receptionist UsedFor [GEN],taste,determined,receptionist,0.374,0.183,0.201
[Name] argued with the receptionist isAfter [GEN],PersonX asks a question,PersonX asks a question,PersonX asks a question,1.0,1.0,1.0
[Name] argued with the receptionist isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] argued with the receptionist isFilledBy [GEN],fruit,phone,doctor,0.427,0.329,0.411
[Name] argued with the receptionist oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] argued with the receptionist oReact [GEN],disappointed,confused,confused,0.434,0.434,1.0
[Name] argued with the receptionist oWant [GEN],to ask questions,to tell others,to ask questions,0.563,1.0,0.563
[Name] argued with the receptionist xAttr [GEN],mean,mean,mean,1.0,1.0,1.0
[Name] argued with the receptionist xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] argued with the receptionist xIntent [GEN],to be rude,to communicate,to communicate,0.469,0.469,1.0
[Name] argued with the receptionist xNeed [GEN],to go to the receptionist,call the receptionist,call the receptionist,0.723,0.723,1.0
[Name] argued with the receptionist xReact [GEN],angry,upset,happy,0.644,0.391,0.419
[Name] argued with the receptionist xReason [GEN],she is jealous,he is mad,he is mad,0.513,0.513,1.0
[Name] argued with the receptionist xWant [GEN],to apologize,apologize,to apologize,0.689,1.0,0.689
[Name] refused to help the editor AtLocation [GEN],newspaper,newspaper,desk,1.0,0.3,0.3
[Name] refused to help the editor CapableOf [GEN],page editor,page editor,get fired,1.0,0.035,0.035
[Name] refused to help the editor Causes [GEN],disappointed,rejection,rejection,0.439,0.439,1.0
[Name] refused to help the editor CausesDesire [GEN],editor,get fired,press,0.171,0.397,0.267
[Name] refused to help the editor CreatedBy [GEN],editor,lose money,bad news,0.185,0.153,0.256
[Name] refused to help the editor DefinedAs [GEN],editor,the editor,press,0.904,0.397,0.352
